@relation highlypreprocessed-weka.filters.unsupervised.attribute.StringToNominal-Rlast-weka.filters.unsupervised.attribute.StringToNominal-R6

@attribute id numeric
@attribute account_status {<0,0<=X<200,'no checking',>=200}
@attribute debt_status {'critical/other existing credit',paid,'delayed previously'}
@attribute credit_reason {radio/tv,education,furniture,car,business,repairs,other}
@attribute credit_amount {1K<=X<2K,5K<=X<10K,2K<=X<3K,4K<=X<5K,3K<=X<4K,X>=10K,X<1K}
@attribute savings_amount {0,<100,500<=X<1000,>=1000,100<=X<500}
@attribute employment {>=7,1<=X<4,4<=X<7,unemployed,<1}
@attribute gender:family {'male single','female div/sep/mar','male div/sep','male mar/wid'}
@attribute age {X>=50,X<25,40<=X<50,30<=X<40,25<=X<30}
@attribute job_status {skilled,unskilled,'highly skilled'}
@attribute loan_status {yes,no}

@data
512,'no checking',paid,car,4K<=X<5K,<100,1<=X<4,'male single',30<=X<40,'highly skilled',yes
513,>=200,paid,business,2K<=X<3K,<100,4<=X<7,'male single',25<=X<30,skilled,yes
514,0<=X<200,'delayed previously',radio/tv,X<1K,<100,1<=X<4,'male mar/wid',X<25,skilled,yes
515,'no checking',paid,car,2K<=X<3K,0,<1,'male single',X>=50,skilled,yes
516,<0,'critical/other existing credit',car,X<1K,<100,4<=X<7,'female div/sep/mar',30<=X<40,skilled,yes
517,<0,'critical/other existing credit',car,1K<=X<2K,<100,<1,'male single',40<=X<50,unskilled,yes
518,'no checking','critical/other existing credit',furniture,5K<=X<10K,<100,<1,'female div/sep/mar',X<25,skilled,no
519,<0,paid,car,1K<=X<2K,100<=X<500,>=7,'male single',40<=X<50,skilled,yes
520,'no checking','critical/other existing credit',radio/tv,X<1K,0,>=7,'male single',30<=X<40,skilled,yes
521,'no checking','critical/other existing credit',repairs,5K<=X<10K,<100,>=7,'male single',40<=X<50,skilled,yes
522,<0,paid,radio/tv,3K<=X<4K,<100,1<=X<4,'female div/sep/mar',X<25,skilled,no
524,'no checking',paid,car,3K<=X<4K,100<=X<500,4<=X<7,'female div/sep/mar',X<25,skilled,yes
525,0<=X<200,paid,radio/tv,1K<=X<2K,<100,1<=X<4,'female div/sep/mar',25<=X<30,unskilled,yes
526,0<=X<200,paid,car,5K<=X<10K,<100,<1,'male single',30<=X<40,skilled,yes
527,'no checking','critical/other existing credit',education,1K<=X<2K,100<=X<500,1<=X<4,'female div/sep/mar',30<=X<40,skilled,yes
528,'no checking','critical/other existing credit',radio/tv,1K<=X<2K,<100,4<=X<7,'male single',40<=X<50,unskilled,yes
529,<0,paid,radio/tv,2K<=X<3K,<100,1<=X<4,'male div/sep',30<=X<40,skilled,no
530,<0,paid,car,X<1K,<100,<1,'male single',40<=X<50,unskilled,yes
531,0<=X<200,paid,education,2K<=X<3K,<100,4<=X<7,'male single',30<=X<40,skilled,yes
532,0<=X<200,paid,car,2K<=X<3K,100<=X<500,1<=X<4,'female div/sep/mar',25<=X<30,skilled,no
533,'no checking','delayed previously',car,1K<=X<2K,<100,1<=X<4,'male mar/wid',40<=X<50,skilled,yes
534,'no checking',paid,radio/tv,1K<=X<2K,100<=X<500,4<=X<7,'male mar/wid',25<=X<30,skilled,yes
535,'no checking',paid,radio/tv,3K<=X<4K,0,<1,'male single',25<=X<30,skilled,yes
536,>=200,'critical/other existing credit',education,2K<=X<3K,<100,<1,'male div/sep',30<=X<40,skilled,no
537,<0,paid,car,1K<=X<2K,0,unemployed,'female div/sep/mar',X>=50,'highly skilled',yes
538,0<=X<200,'critical/other existing credit',furniture,3K<=X<4K,<100,>=7,'female div/sep/mar',30<=X<40,skilled,yes
539,<0,paid,car,5K<=X<10K,<100,>=7,'male single',40<=X<50,'highly skilled',no
540,>=200,paid,furniture,3K<=X<4K,<100,<1,'female div/sep/mar',40<=X<50,unskilled,yes
541,0<=X<200,paid,radio/tv,1K<=X<2K,<100,<1,'male mar/wid',X<25,skilled,no
542,'no checking','delayed previously',car,2K<=X<3K,<100,>=7,'male single',X>=50,skilled,yes
543,<0,paid,furniture,5K<=X<10K,0,>=7,'male single',30<=X<40,skilled,no
544,>=200,paid,furniture,2K<=X<3K,<100,1<=X<4,'male single',30<=X<40,unskilled,no
545,'no checking','critical/other existing credit',car,1K<=X<2K,<100,>=7,'male single',X>=50,unskilled,yes
546,<0,'delayed previously',car,1K<=X<2K,<100,unemployed,'male single',40<=X<50,skilled,no
547,'no checking','critical/other existing credit',car,2K<=X<3K,<100,1<=X<4,'female div/sep/mar',30<=X<40,skilled,yes
548,'no checking',paid,radio/tv,1K<=X<2K,<100,4<=X<7,'male single',30<=X<40,skilled,yes
549,<0,paid,radio/tv,X<1K,<100,1<=X<4,'female div/sep/mar',X<25,unskilled,no
550,'no checking','critical/other existing credit',car,5K<=X<10K,0,4<=X<7,'male single',30<=X<40,skilled,yes
551,'no checking','critical/other existing credit',repairs,X<1K,0,4<=X<7,'female div/sep/mar',X<25,skilled,yes
552,'no checking',paid,radio/tv,1K<=X<2K,500<=X<1000,>=7,'male single',40<=X<50,unskilled,yes
553,<0,paid,radio/tv,5K<=X<10K,<100,4<=X<7,'male mar/wid',30<=X<40,skilled,no
554,0<=X<200,'critical/other existing credit',car,1K<=X<2K,100<=X<500,<1,'male single',25<=X<30,skilled,yes
555,0<=X<200,paid,education,1K<=X<2K,<100,4<=X<7,'female div/sep/mar',X>=50,'highly skilled',yes
556,0<=X<200,paid,radio/tv,1K<=X<2K,<100,<1,'male single',X<25,skilled,no
557,0<=X<200,paid,car,2K<=X<3K,100<=X<500,<1,'female div/sep/mar',25<=X<30,skilled,no
558,'no checking',paid,car,5K<=X<10K,0,1<=X<4,'female div/sep/mar',25<=X<30,skilled,no
559,<0,paid,furniture,3K<=X<4K,<100,4<=X<7,'male single',25<=X<30,skilled,no
560,0<=X<200,'critical/other existing credit',furniture,1K<=X<2K,<100,<1,'male single',30<=X<40,unskilled,no
561,<0,paid,car,2K<=X<3K,0,>=7,'male single',40<=X<50,skilled,yes
562,<0,paid,radio/tv,1K<=X<2K,<100,4<=X<7,'male single',X<25,unskilled,no
563,>=200,'delayed previously',radio/tv,X<1K,<100,<1,'female div/sep/mar',25<=X<30,skilled,yes
565,0<=X<200,'delayed previously',business,4K<=X<5K,0,1<=X<4,'male single',30<=X<40,'highly skilled',yes
566,0<=X<200,'delayed previously',radio/tv,1K<=X<2K,100<=X<500,4<=X<7,'female div/sep/mar',X<25,skilled,yes
567,<0,paid,car,1K<=X<2K,<100,4<=X<7,'male div/sep',30<=X<40,skilled,no
568,'no checking','critical/other existing credit',radio/tv,2K<=X<3K,>=1000,>=7,'male single',30<=X<40,skilled,yes
569,0<=X<200,paid,radio/tv,3K<=X<4K,0,4<=X<7,'male single',40<=X<50,skilled,yes
570,<0,paid,radio/tv,5K<=X<10K,<100,1<=X<4,'female div/sep/mar',30<=X<40,skilled,no
571,<0,paid,furniture,3K<=X<4K,<100,<1,'female div/sep/mar',X<25,unskilled,no
572,'no checking','critical/other existing credit',radio/tv,5K<=X<10K,<100,4<=X<7,'male single',30<=X<40,skilled,yes
573,'no checking',paid,car,5K<=X<10K,0,unemployed,'female div/sep/mar',25<=X<30,'highly skilled',yes
574,<0,paid,business,X<1K,<100,1<=X<4,'female div/sep/mar',X<25,unskilled,yes
575,0<=X<200,paid,radio/tv,1K<=X<2K,<100,>=7,'male single',25<=X<30,unskilled,yes
576,'no checking','critical/other existing credit',furniture,2K<=X<3K,<100,4<=X<7,'female div/sep/mar',X<25,skilled,yes
577,0<=X<200,paid,radio/tv,2K<=X<3K,<100,4<=X<7,'female div/sep/mar',25<=X<30,skilled,yes
578,'no checking','critical/other existing credit',education,1K<=X<2K,0,1<=X<4,'female div/sep/mar',30<=X<40,skilled,yes
579,0<=X<200,'critical/other existing credit',car,2K<=X<3K,<100,<1,'male div/sep',25<=X<30,skilled,no
580,'no checking',paid,other,X<1K,<100,<1,'male mar/wid',25<=X<30,unskilled,yes
581,0<=X<200,'critical/other existing credit',car,1K<=X<2K,<100,>=7,'male single',30<=X<40,skilled,no
582,0<=X<200,'critical/other existing credit',car,3K<=X<4K,<100,<1,'male single',40<=X<50,unskilled,yes
584,0<=X<200,paid,repairs,2K<=X<3K,<100,<1,'male single',30<=X<40,unskilled,no
585,'no checking',paid,car,2K<=X<3K,0,>=7,'female div/sep/mar',X>=50,'highly skilled',yes
586,<0,paid,furniture,2K<=X<3K,<100,1<=X<4,'female div/sep/mar',X<25,skilled,no
587,<0,'critical/other existing credit',car,2K<=X<3K,<100,1<=X<4,'male single',30<=X<40,skilled,yes
588,<0,paid,furniture,1K<=X<2K,<100,1<=X<4,'male single',X<25,unskilled,yes
589,<0,paid,furniture,1K<=X<2K,<100,1<=X<4,'male mar/wid',40<=X<50,unskilled,no
590,<0,'critical/other existing credit',furniture,2K<=X<3K,<100,>=7,'male single',X>=50,skilled,no
591,<0,'critical/other existing credit',radio/tv,X<1K,<100,4<=X<7,'female div/sep/mar',X>=50,unskilled,yes
592,0<=X<200,'delayed previously',car,1K<=X<2K,0,1<=X<4,'female div/sep/mar',40<=X<50,skilled,yes
593,'no checking',paid,business,1K<=X<2K,>=1000,>=7,'female div/sep/mar',30<=X<40,unskilled,yes
594,0<=X<200,paid,car,2K<=X<3K,<100,1<=X<4,'female div/sep/mar',X<25,unskilled,no
595,<0,paid,other,1K<=X<2K,0,>=7,'male single',40<=X<50,'highly skilled',no
596,0<=X<200,paid,car,X<1K,100<=X<500,<1,'female div/sep/mar',30<=X<40,unskilled,no
597,<0,paid,car,1K<=X<2K,<100,4<=X<7,'female div/sep/mar',X<25,skilled,no
598,0<=X<200,paid,business,4K<=X<5K,<100,1<=X<4,'male single',30<=X<40,unskilled,no
599,'no checking','critical/other existing credit',car,2K<=X<3K,<100,4<=X<7,'male single',30<=X<40,skilled,no
600,'no checking','delayed previously',business,3K<=X<4K,<100,1<=X<4,'male single',30<=X<40,skilled,yes
601,0<=X<200,paid,radio/tv,2K<=X<3K,<100,<1,'female div/sep/mar',40<=X<50,skilled,yes
602,0<=X<200,paid,furniture,X<1K,<100,1<=X<4,'female div/sep/mar',30<=X<40,skilled,no
603,0<=X<200,paid,education,1K<=X<2K,<100,4<=X<7,'female div/sep/mar',30<=X<40,unskilled,no
604,'no checking',paid,furniture,3K<=X<4K,<100,1<=X<4,'female div/sep/mar',25<=X<30,'highly skilled',no
605,>=200,paid,furniture,1K<=X<2K,<100,<1,'female div/sep/mar',X<25,skilled,yes
606,<0,paid,furniture,2K<=X<3K,500<=X<1000,1<=X<4,'male single',X<25,skilled,yes
607,'no checking','critical/other existing credit',business,4K<=X<5K,<100,1<=X<4,'male single',X>=50,'highly skilled',yes
608,0<=X<200,paid,radio/tv,2K<=X<3K,100<=X<500,1<=X<4,'female div/sep/mar',X>=50,skilled,no
609,'no checking',paid,radio/tv,2K<=X<3K,<100,<1,'male single',30<=X<40,skilled,yes
610,'no checking',paid,car,1K<=X<2K,0,>=7,'male single',40<=X<50,skilled,yes
611,<0,paid,furniture,X<1K,100<=X<500,unemployed,'female div/sep/mar',X<25,skilled,no
612,>=200,paid,car,1K<=X<2K,100<=X<500,>=7,'female div/sep/mar',40<=X<50,unskilled,no
613,<0,paid,radio/tv,3K<=X<4K,>=1000,<1,'female div/sep/mar',25<=X<30,skilled,yes
614,<0,paid,car,3K<=X<4K,<100,1<=X<4,'female div/sep/mar',X<25,skilled,yes
615,'no checking','delayed previously',furniture,1K<=X<2K,<100,4<=X<7,'female div/sep/mar',X<25,skilled,no
616,0<=X<200,paid,business,X>=10K,0,1<=X<4,'male single',40<=X<50,'highly skilled',yes
617,0<=X<200,'delayed previously',radio/tv,5K<=X<10K,0,1<=X<4,'male single',25<=X<30,'highly skilled',yes
618,<0,'critical/other existing credit',car,3K<=X<4K,<100,1<=X<4,'male single',30<=X<40,skilled,yes
619,0<=X<200,paid,furniture,3K<=X<4K,100<=X<500,1<=X<4,'female div/sep/mar',X<25,skilled,no
620,'no checking',paid,car,X<1K,<100,1<=X<4,'male div/sep',40<=X<50,unskilled,yes
621,0<=X<200,'critical/other existing credit',business,3K<=X<4K,<100,4<=X<7,'male single',25<=X<30,skilled,yes
622,'no checking','critical/other existing credit',car,1K<=X<2K,<100,1<=X<4,'male single',30<=X<40,skilled,no
623,'no checking',paid,business,3K<=X<4K,0,1<=X<4,'male div/sep',30<=X<40,skilled,no
624,<0,paid,furniture,1K<=X<2K,<100,<1,'female div/sep/mar',X<25,skilled,yes
625,<0,paid,radio/tv,2K<=X<3K,<100,1<=X<4,'male single',X>=50,skilled,no
626,'no checking',paid,radio/tv,1K<=X<2K,0,>=7,'male single',30<=X<40,skilled,yes
627,>=200,paid,furniture,2K<=X<3K,<100,1<=X<4,'male single',40<=X<50,skilled,yes
628,0<=X<200,paid,car,1K<=X<2K,100<=X<500,4<=X<7,'male single',25<=X<30,skilled,no
629,'no checking','critical/other existing credit',furniture,4K<=X<5K,500<=X<1000,1<=X<4,'male single',30<=X<40,skilled,yes
630,'no checking',paid,education,3K<=X<4K,0,>=7,'male single',X>=50,unskilled,yes
631,<0,paid,radio/tv,3K<=X<4K,<100,1<=X<4,'female div/sep/mar',25<=X<30,skilled,yes
632,<0,paid,furniture,1K<=X<2K,<100,1<=X<4,'male single',40<=X<50,skilled,no
633,0<=X<200,paid,radio/tv,1K<=X<2K,0,<1,'male single',X<25,skilled,yes
634,'no checking',paid,furniture,1K<=X<2K,<100,<1,'female div/sep/mar',X<25,skilled,no
635,0<=X<200,paid,car,1K<=X<2K,<100,<1,'female div/sep/mar',25<=X<30,unskilled,no
637,'no checking',paid,radio/tv,1K<=X<2K,500<=X<1000,4<=X<7,'female div/sep/mar',25<=X<30,skilled,yes
638,'no checking','delayed previously',radio/tv,X>=10K,<100,4<=X<7,'male single',X<25,skilled,yes
639,'no checking',paid,radio/tv,1K<=X<2K,<100,<1,'female div/sep/mar',30<=X<40,skilled,yes
640,<0,'delayed previously',radio/tv,4K<=X<5K,<100,4<=X<7,'male single',25<=X<30,skilled,no
641,<0,paid,education,X<1K,<100,unemployed,'female div/sep/mar',25<=X<30,unskilled,no
642,0<=X<200,paid,repairs,1K<=X<2K,<100,>=7,'male single',30<=X<40,unskilled,yes
643,'no checking',paid,education,4K<=X<5K,100<=X<500,1<=X<4,'male single',40<=X<50,'highly skilled',no
644,'no checking','critical/other existing credit',radio/tv,1K<=X<2K,<100,4<=X<7,'male mar/wid',30<=X<40,skilled,yes
645,<0,'critical/other existing credit',radio/tv,1K<=X<2K,<100,4<=X<7,'male mar/wid',30<=X<40,'highly skilled',yes
646,'no checking','delayed previously',business,5K<=X<10K,0,<1,'male single',25<=X<30,skilled,no
647,<0,paid,furniture,4K<=X<5K,<100,1<=X<4,'male div/sep',30<=X<40,skilled,yes
648,'no checking',paid,car,1K<=X<2K,500<=X<1000,1<=X<4,'female div/sep/mar',25<=X<30,skilled,no
649,>=200,paid,car,X<1K,<100,4<=X<7,'male single',30<=X<40,skilled,no
650,<0,paid,education,X<1K,<100,1<=X<4,'male single',40<=X<50,unskilled,no
651,<0,paid,education,5K<=X<10K,<100,4<=X<7,'male single',X>=50,'highly skilled',yes
652,0<=X<200,paid,furniture,1K<=X<2K,<100,1<=X<4,'male single',30<=X<40,unskilled,no
653,<0,paid,car,2K<=X<3K,<100,>=7,'male single',40<=X<50,skilled,no
654,0<=X<200,'delayed previously',car,5K<=X<10K,100<=X<500,>=7,'male single',40<=X<50,'highly skilled',no
655,'no checking','critical/other existing credit',car,2K<=X<3K,<100,4<=X<7,'male single',30<=X<40,skilled,yes
656,<0,paid,car,3K<=X<4K,<100,unemployed,'male single',X<25,skilled,yes
657,0<=X<200,paid,car,X<1K,<100,>=7,'male single',40<=X<50,unskilled,no
658,'no checking',paid,radio/tv,X>=10K,0,4<=X<7,'male single',30<=X<40,skilled,yes
659,0<=X<200,paid,business,4K<=X<5K,<100,1<=X<4,'female div/sep/mar',25<=X<30,skilled,yes
660,0<=X<200,'critical/other existing credit',furniture,5K<=X<10K,<100,>=7,'male single',40<=X<50,skilled,yes
661,>=200,paid,radio/tv,1K<=X<2K,<100,1<=X<4,'male mar/wid',X<25,skilled,yes
662,<0,paid,car,X<1K,0,1<=X<4,'male mar/wid',X<25,skilled,no
663,'no checking',paid,furniture,2K<=X<3K,<100,>=7,'male single',X>=50,skilled,yes
664,0<=X<200,'delayed previously',furniture,1K<=X<2K,<100,unemployed,'male single',30<=X<40,'highly skilled',yes
665,>=200,'critical/other existing credit',education,1K<=X<2K,<100,1<=X<4,'female div/sep/mar',X>=50,unskilled,yes
666,'no checking','critical/other existing credit',other,5K<=X<10K,<100,unemployed,'male single',25<=X<30,'highly skilled',yes
667,0<=X<200,paid,furniture,3K<=X<4K,>=1000,1<=X<4,'male single',30<=X<40,skilled,yes
668,'no checking',paid,business,3K<=X<4K,<100,1<=X<4,'female div/sep/mar',25<=X<30,skilled,yes
669,<0,'critical/other existing credit',car,4K<=X<5K,<100,>=7,'male single',40<=X<50,skilled,no
670,>=200,'critical/other existing credit',radio/tv,3K<=X<4K,<100,>=7,'male single',40<=X<50,skilled,yes
671,'no checking','critical/other existing credit',business,4K<=X<5K,100<=X<500,1<=X<4,'male single',25<=X<30,unskilled,yes
672,'no checking',paid,business,5K<=X<10K,100<=X<500,4<=X<7,'male single',30<=X<40,skilled,yes
673,'no checking',paid,car,X>=10K,<100,>=7,'male single',40<=X<50,'highly skilled',yes
674,'no checking','critical/other existing credit',car,2K<=X<3K,500<=X<1000,1<=X<4,'male mar/wid',X<25,skilled,yes
675,'no checking','delayed previously',business,2K<=X<3K,500<=X<1000,<1,'male single',40<=X<50,unskilled,no
676,'no checking','critical/other existing credit',radio/tv,4K<=X<5K,<100,4<=X<7,'female div/sep/mar',25<=X<30,'highly skilled',yes
677,'no checking','critical/other existing credit',furniture,5K<=X<10K,<100,>=7,'male single',30<=X<40,skilled,yes
678,0<=X<200,paid,radio/tv,5K<=X<10K,100<=X<500,1<=X<4,'male mar/wid',X<25,skilled,no
679,<0,paid,radio/tv,2K<=X<3K,<100,>=7,'male single',X>=50,unskilled,yes
680,'no checking',paid,radio/tv,1K<=X<2K,<100,<1,'female div/sep/mar',25<=X<30,skilled,yes
681,'no checking',paid,education,1K<=X<2K,<100,<1,'female div/sep/mar',X>=50,skilled,yes
682,'no checking',paid,radio/tv,2K<=X<3K,0,1<=X<4,'male single',30<=X<40,skilled,yes
683,'no checking','delayed previously',radio/tv,1K<=X<2K,<100,1<=X<4,'male mar/wid',30<=X<40,skilled,yes
684,'no checking','critical/other existing credit',radio/tv,5K<=X<10K,<100,<1,'male mar/wid',40<=X<50,skilled,yes
685,0<=X<200,'delayed previously',business,5K<=X<10K,100<=X<500,4<=X<7,'male single',30<=X<40,unskilled,yes
686,'no checking',paid,car,5K<=X<10K,0,1<=X<4,'male single',30<=X<40,skilled,yes
687,>=200,'critical/other existing credit',radio/tv,1K<=X<2K,0,4<=X<7,'male single',25<=X<30,skilled,yes
688,0<=X<200,'delayed previously',car,2K<=X<3K,100<=X<500,>=7,'male single',30<=X<40,skilled,yes
689,'no checking',paid,radio/tv,2K<=X<3K,100<=X<500,>=7,'male single',30<=X<40,skilled,yes
690,<0,paid,car,3K<=X<4K,>=1000,1<=X<4,'male single',30<=X<40,skilled,yes
691,<0,'critical/other existing credit',furniture,X<1K,<100,1<=X<4,'male div/sep',25<=X<30,skilled,yes
692,0<=X<200,paid,repairs,2K<=X<3K,100<=X<500,1<=X<4,'female div/sep/mar',25<=X<30,unskilled,yes
693,0<=X<200,paid,radio/tv,2K<=X<3K,100<=X<500,<1,'male single',25<=X<30,skilled,yes
694,<0,'critical/other existing credit',car,4K<=X<5K,0,<1,'male single',40<=X<50,unskilled,yes
695,'no checking',paid,radio/tv,2K<=X<3K,<100,4<=X<7,'male single',25<=X<30,skilled,yes
696,'no checking',paid,car,1K<=X<2K,500<=X<1000,1<=X<4,'male single',X>=50,skilled,yes
697,0<=X<200,paid,radio/tv,1K<=X<2K,<100,4<=X<7,'male single',25<=X<30,skilled,yes
698,'no checking','critical/other existing credit',car,X<1K,<100,unemployed,'female div/sep/mar',30<=X<40,unskilled,yes
699,'no checking','critical/other existing credit',radio/tv,1K<=X<2K,<100,1<=X<4,'male single',X<25,skilled,yes
700,>=200,paid,education,1K<=X<2K,<100,>=7,'male single',40<=X<50,'highly skilled',yes
701,'no checking',paid,furniture,1K<=X<2K,500<=X<1000,1<=X<4,'female div/sep/mar',25<=X<30,unskilled,no
702,<0,'critical/other existing credit',car,5K<=X<10K,<100,>=7,'male single',40<=X<50,skilled,no
703,>=200,paid,radio/tv,1K<=X<2K,100<=X<500,>=7,'female div/sep/mar',40<=X<50,skilled,yes
704,0<=X<200,'delayed previously',business,2K<=X<3K,100<=X<500,>=7,'male single',40<=X<50,skilled,yes
705,0<=X<200,paid,business,2K<=X<3K,<100,<1,'female div/sep/mar',30<=X<40,skilled,yes
706,'no checking',paid,car,5K<=X<10K,500<=X<1000,>=7,'female div/sep/mar',30<=X<40,skilled,yes
707,0<=X<200,paid,car,5K<=X<10K,100<=X<500,4<=X<7,'male single',X<25,skilled,no
708,0<=X<200,paid,furniture,2K<=X<3K,<100,<1,'female div/sep/mar',25<=X<30,skilled,no
709,0<=X<200,paid,radio/tv,1K<=X<2K,<100,>=7,'female div/sep/mar',25<=X<30,skilled,yes
710,0<=X<200,paid,radio/tv,2K<=X<3K,<100,1<=X<4,'male single',30<=X<40,unskilled,yes
711,'no checking','critical/other existing credit',radio/tv,X<1K,500<=X<1000,>=7,'male single',30<=X<40,'highly skilled',yes
712,<0,paid,education,1K<=X<2K,<100,>=7,'female div/sep/mar',30<=X<40,skilled,no
713,'no checking',paid,car,2K<=X<3K,0,>=7,'male single',40<=X<50,'highly skilled',yes
714,<0,'critical/other existing credit',radio/tv,1K<=X<2K,<100,1<=X<4,'male single',25<=X<30,unskilled,yes
715,0<=X<200,paid,car,X>=10K,<100,4<=X<7,'male single',25<=X<30,'highly skilled',no
716,'no checking','critical/other existing credit',car,5K<=X<10K,0,>=7,'male single',X>=50,skilled,yes
717,'no checking','critical/other existing credit',radio/tv,3K<=X<4K,0,>=7,'male single',40<=X<50,skilled,yes
718,'no checking',paid,radio/tv,1K<=X<2K,<100,1<=X<4,'male single',30<=X<40,'highly skilled',yes
719,>=200,'critical/other existing credit',radio/tv,3K<=X<4K,0,1<=X<4,'male single',30<=X<40,skilled,yes
720,0<=X<200,paid,car,5K<=X<10K,100<=X<500,>=7,'male mar/wid',30<=X<40,skilled,yes
721,>=200,paid,radio/tv,1K<=X<2K,<100,<1,'male single',30<=X<40,'highly skilled',no
722,0<=X<200,paid,education,X<1K,>=1000,<1,'female div/sep/mar',X<25,skilled,no
723,<0,paid,car,1K<=X<2K,<100,1<=X<4,'female div/sep/mar',X<25,unskilled,no
724,0<=X<200,paid,radio/tv,X<1K,500<=X<1000,1<=X<4,'female div/sep/mar',X>=50,unskilled,yes
725,'no checking',paid,car,2K<=X<3K,<100,1<=X<4,'female div/sep/mar',X<25,skilled,no
726,'no checking','critical/other existing credit',car,X<1K,>=1000,1<=X<4,'female div/sep/mar',40<=X<50,unskilled,yes
727,'no checking','critical/other existing credit',radio/tv,1K<=X<2K,500<=X<1000,1<=X<4,'male mar/wid',40<=X<50,unskilled,yes
728,<0,paid,radio/tv,1K<=X<2K,<100,1<=X<4,'female div/sep/mar',25<=X<30,skilled,no
729,0<=X<200,paid,business,5K<=X<10K,<100,>=7,'female div/sep/mar',X>=50,skilled,no
730,>=200,'critical/other existing credit',business,1K<=X<2K,>=1000,1<=X<4,'male div/sep',30<=X<40,skilled,yes
731,0<=X<200,'delayed previously',radio/tv,5K<=X<10K,<100,<1,'male single',30<=X<40,skilled,yes
732,<0,paid,radio/tv,1K<=X<2K,<100,1<=X<4,'male single',X<25,unskilled,no
733,0<=X<200,paid,radio/tv,X<1K,<100,4<=X<7,'female div/sep/mar',40<=X<50,unskilled,yes
734,'no checking',paid,car,2K<=X<3K,>=1000,1<=X<4,'female div/sep/mar',25<=X<30,skilled,yes
735,'no checking','critical/other existing credit',car,3K<=X<4K,<100,4<=X<7,'female div/sep/mar',30<=X<40,skilled,yes
736,0<=X<200,paid,furniture,3K<=X<4K,0,<1,'female div/sep/mar',25<=X<30,unskilled,yes
737,0<=X<200,paid,car,X>=10K,<100,1<=X<4,'female div/sep/mar',X<25,'highly skilled',no
738,<0,paid,car,4K<=X<5K,100<=X<500,1<=X<4,'male single',30<=X<40,unskilled,yes
739,'no checking','critical/other existing credit',car,5K<=X<10K,<100,4<=X<7,'male single',40<=X<50,'highly skilled',yes
740,0<=X<200,paid,business,4K<=X<5K,100<=X<500,1<=X<4,'female div/sep/mar',25<=X<30,unskilled,no
741,<0,paid,car,2K<=X<3K,100<=X<500,4<=X<7,'male single',30<=X<40,skilled,yes
742,0<=X<200,paid,radio/tv,1K<=X<2K,<100,1<=X<4,'male single',X<25,unskilled,yes
743,'no checking',paid,radio/tv,3K<=X<4K,0,>=7,'male single',40<=X<50,skilled,yes
744,<0,paid,furniture,2K<=X<3K,500<=X<1000,1<=X<4,'male single',X<25,skilled,yes
745,<0,'critical/other existing credit',furniture,X>=10K,0,4<=X<7,'male single',30<=X<40,'highly skilled',yes
746,<0,'critical/other existing credit',business,1K<=X<2K,<100,<1,'male single',25<=X<30,unskilled,yes
747,<0,paid,car,2K<=X<3K,<100,unemployed,'female div/sep/mar',X<25,skilled,yes
748,<0,paid,car,1K<=X<2K,<100,<1,'female div/sep/mar',30<=X<40,unskilled,no
749,'no checking',paid,car,5K<=X<10K,0,1<=X<4,'male single',25<=X<30,skilled,yes
750,'no checking',paid,car,3K<=X<4K,<100,4<=X<7,'male single',30<=X<40,skilled,yes
751,<0,paid,furniture,X<1K,<100,>=7,'female div/sep/mar',40<=X<50,skilled,yes
752,<0,paid,car,X<1K,<100,<1,'female div/sep/mar',X<25,unskilled,no
753,0<=X<200,paid,business,X<1K,100<=X<500,4<=X<7,'female div/sep/mar',X<25,unskilled,yes
754,'no checking','critical/other existing credit',radio/tv,5K<=X<10K,<100,4<=X<7,'female div/sep/mar',25<=X<30,skilled,yes
755,'no checking','delayed previously',repairs,1K<=X<2K,>=1000,>=7,'male single',X>=50,skilled,no
756,<0,paid,car,1K<=X<2K,0,4<=X<7,'female div/sep/mar',30<=X<40,skilled,no
757,>=200,'critical/other existing credit',car,1K<=X<2K,<100,1<=X<4,'male single',X>=50,unskilled,yes
758,>=200,'critical/other existing credit',radio/tv,1K<=X<2K,0,1<=X<4,'male single',30<=X<40,skilled,no
759,'no checking',paid,car,1K<=X<2K,<100,1<=X<4,'male single',30<=X<40,skilled,yes
760,<0,'critical/other existing credit',car,X<1K,<100,>=7,'male single',30<=X<40,skilled,no
761,'no checking','critical/other existing credit',car,5K<=X<10K,0,>=7,'female div/sep/mar',X>=50,skilled,yes
762,<0,'critical/other existing credit',furniture,2K<=X<3K,<100,1<=X<4,'female div/sep/mar',X<25,skilled,no
763,<0,paid,radio/tv,2K<=X<3K,<100,1<=X<4,'male single',X<25,unskilled,yes
764,'no checking','critical/other existing credit',car,X>=10K,0,>=7,'male single',30<=X<40,'highly skilled',no
765,'no checking','critical/other existing credit',car,2K<=X<3K,100<=X<500,4<=X<7,'male mar/wid',25<=X<30,skilled,yes
766,0<=X<200,paid,radio/tv,1K<=X<2K,<100,>=7,'male mar/wid',40<=X<50,unskilled,yes
767,<0,paid,furniture,3K<=X<4K,<100,<1,'male div/sep',30<=X<40,unskilled,no
768,'no checking',paid,car,2K<=X<3K,0,<1,'female div/sep/mar',30<=X<40,skilled,yes
769,0<=X<200,'critical/other existing credit',furniture,3K<=X<4K,<100,>=7,'male single',25<=X<30,skilled,yes
